################################################################
# abuse.ch Feodo Tracker Botnet C2 IP Blocklist (CSV)          #
# Last updated: 2021-10-25 07:45:52 UTC                        #
#                                                              #
# Terms Of Use: https://feodotracker.abuse.ch/blocklist/       #
# For questions please contact feodotracker [at] abuse.ch      #
################################################################
#
"first_seen_utc","dst_ip","dst_port","c2_status","last_online","malware"
"2021-01-17 07:44:46","51.178.161.32","4643","online","2021-10-25","Dridex"
"2021-01-17 07:45:55","111.230.104.169","3388","online","2021-10-25","Dridex"
"2021-01-17 07:45:58","217.79.184.243","33443","online","2021-10-25","Dridex"
"2021-01-17 07:47:59","46.101.90.205","4643","online","2021-10-25","Dridex"
"2021-01-17 07:49:46","103.40.116.68","5443","online","2021-10-25","Dridex"
"2021-01-17 07:50:03","209.59.199.129","4443","offline","2021-10-01","Dridex"
"2021-01-17 07:50:16","54.38.143.246","691","online","2021-10-25","Dridex"
"2021-01-17 07:50:26","92.38.128.47","3389","online","2021-10-25","Dridex"
"2021-01-17 07:50:57","52.73.70.149","443","online","2021-10-25","Dridex"
"2021-01-18 09:22:03","23.160.193.106","443","online","2021-10-25","TrickBot"
"2021-01-25 15:26:47","158.69.118.130","1443","online","2021-10-25","Dridex"
"2021-01-26 03:22:41","142.44.247.57","4043","online","2021-10-25","Dridex"
"2021-02-01 11:54:08","192.99.41.136","981","offline","2021-10-19","Dridex"
"2021-02-02 00:55:55","177.87.0.7","447","online","2021-10-25","TrickBot"
"2021-02-02 20:03:38","45.201.134.202","447","online","2021-10-25","TrickBot"
"2021-02-03 16:34:01","159.224.167.102","447","online","2021-10-25","TrickBot"
"2021-02-08 12:27:30","178.128.83.165","443","online","2021-10-25","Dridex"
"2021-02-22 16:57:59","162.13.114.59","443","offline","2021-10-11","Dridex"
"2021-02-22 16:57:59","37.187.115.122","6601","online","2021-10-25","Dridex"
"2021-02-23 11:15:18","5.182.210.132","443","online","2021-10-25","TrickBot"
"2021-03-01 21:11:38","121.199.35.69","443","online","2021-10-25","Dridex"
"2021-03-02 17:58:10","85.88.174.94","447","online","2021-10-25","TrickBot"
"2021-03-04 03:09:22","103.73.102.174","447","online","2021-10-25","TrickBot"
"2021-03-05 21:29:01","111.235.66.83","447","online","2021-10-25","TrickBot"
"2021-03-07 23:49:28","62.64.9.237","447","online","2021-10-25","TrickBot"
"2021-03-10 15:58:44","144.76.42.74","6601","online","2021-10-25","Dridex"
"2021-03-14 10:40:47","195.210.28.233","6601","offline","2021-09-29","Dridex"
"2021-03-21 21:26:44","5.182.210.254","443","offline","2021-10-17","TrickBot"
"2021-03-22 12:53:59","37.247.35.130","6601","online","2021-10-25","Dridex"
"2021-03-23 14:15:14","216.177.161.118","447","online","2021-10-25","TrickBot"
"2021-03-24 14:51:47","108.55.14.158","447","online","2021-10-25","TrickBot"
"2021-03-26 12:31:09","18.195.23.231","443","online","2021-10-25","Dridex"
"2021-04-04 20:56:22","216.10.251.121","6601","online","2021-10-25","Dridex"
"2021-04-05 17:24:06","51.91.76.89","2303","online","2021-10-25","Dridex"
"2021-04-07 19:30:27","185.148.168.220","2303","online","2021-10-25","Dridex"
"2021-04-08 23:50:56","131.100.24.199","2303","online","2021-10-25","Dridex"
"2021-04-09 06:56:12","94.28.78.200","447","online","2021-10-25","TrickBot"
"2021-04-09 08:37:23","181.143.251.154","447","online","2021-10-25","TrickBot"
"2021-04-13 07:29:54","77.232.163.203","449","online","2021-10-25","TrickBot"
"2021-04-13 07:32:30","87.97.178.92","449","online","2021-10-25","TrickBot"
"2021-04-13 07:32:31","91.243.125.5","443","online","2021-10-25","TrickBot"
"2021-04-13 07:32:31","181.143.251.154","449","online","2021-10-25","TrickBot"
"2021-04-13 07:32:31","185.94.172.15","449","offline","2021-10-25","TrickBot"
"2021-04-15 22:29:14","87.97.178.92","447","online","2021-10-25","TrickBot"
"2021-04-19 13:35:52","185.148.168.25","2303","online","2021-10-25","Dridex"
"2021-04-29 19:37:00","153.126.165.175","6601","online","2021-10-25","Dridex"
"2021-04-29 22:22:18","178.254.33.197","2303","online","2021-10-25","Dridex"
"2021-05-13 04:12:25","43.229.206.212","443","online","2021-10-25","Dridex"
"2021-05-16 19:49:32","1.234.21.73","6601","online","2021-10-25","Dridex"
"2021-05-16 19:49:33","178.128.23.9","4125","online","2021-10-25","Dridex"
"2021-05-17 16:26:22","43.229.206.244","4125","online","2021-10-25","Dridex"
"2021-05-19 18:26:11","162.241.41.92","2303","offline","2021-09-30","Dridex"
"2021-05-23 12:57:48","103.164.180.66","447","online","2021-10-25","TrickBot"
"2021-05-24 19:05:48","49.156.34.134","447","online","2021-10-25","TrickBot"
"2021-05-26 20:39:19","190.109.204.126","443","online","2021-10-25","TrickBot"
"2021-05-29 01:04:21","91.83.88.122","443","online","2021-10-25","TrickBot"
"2021-06-02 01:31:21","162.214.188.105","8172","online","2021-10-25","Dridex"
"2021-06-05 20:28:44","162.214.106.107","13783","online","2021-10-25","Dridex"
"2021-06-08 02:01:29","51.77.82.110","9987","online","2021-10-25","Dridex"
"2021-06-08 02:01:30","207.210.192.60","8172","offline","2021-10-06","Dridex"
"2021-06-09 17:16:27","45.79.91.89","9987","online","2021-10-25","Dridex"
"2021-06-14 19:01:23","50.116.54.215","13786","online","2021-10-25","Dridex"
"2021-06-17 16:25:27","162.214.127.16","6051","online","2021-10-25","Dridex"
"2021-06-18 08:53:41","91.235.129.8","443","online","2021-10-25","TrickBot"
"2021-06-18 08:56:49","181.112.157.42","443","online","2021-10-25","TrickBot"
"2021-06-21 04:28:31","139.59.59.242","443","online","2021-10-25","Dridex"
"2021-06-21 04:28:32","91.207.28.33","13786","online","2021-10-25","Dridex"
"2021-06-21 06:46:36","178.128.197.110","4664","online","2021-10-25","Dridex"
"2021-06-21 17:46:38","144.76.1.150","443","online","2021-10-25","Dridex"
"2021-06-22 11:09:48","148.235.154.164","443","online","2021-10-25","TrickBot"
"2021-06-22 11:09:49","190.145.83.98","443","online","2021-10-25","TrickBot"
"2021-06-23 20:10:38","178.79.150.86","4664","online","2021-10-25","Dridex"
"2021-06-30 20:00:40","24.162.214.166","443","online","2021-10-25","TrickBot"
"2021-07-01 07:27:52","170.238.117.187","443","online","2021-10-25","TrickBot"
"2021-07-02 09:30:06","5.34.74.210","443","online","2021-10-25","TrickBot"
"2021-07-02 19:15:50","167.172.119.42","443","online","2021-10-25","Dridex"
"2021-07-02 19:15:50","50.116.23.195","13786","online","2021-10-25","Dridex"
"2021-07-03 03:30:12","190.197.55.254","443","online","2021-10-25","TrickBot"
"2021-07-03 04:44:31","190.61.43.241","443","offline","2021-10-21","TrickBot"
"2021-07-03 17:11:37","142.4.219.173","4664","online","2021-10-25","Dridex"
"2021-07-03 22:13:14","176.31.117.84","9443","online","2021-10-25","Dridex"
"2021-07-04 18:30:08","182.253.106.35","443","offline","2021-10-25","TrickBot"
"2021-07-06 16:18:10","178.79.147.66","443","online","2021-10-25","Dridex"
"2021-07-06 16:18:12","54.191.98.150","13786","online","2021-10-25","Dridex"
"2021-07-07 16:16:04","54.37.106.167","13786","online","2021-10-25","Dridex"
"2021-07-07 16:16:05","207.58.132.19","9443","offline","2021-10-15","Dridex"
"2021-07-10 03:28:28","37.59.103.148","4664","online","2021-10-25","Dridex"
"2021-07-10 03:28:28","43.229.206.214","4664","online","2021-10-25","Dridex"
"2021-07-10 06:31:04","79.143.186.143","5007","online","2021-10-25","Dridex"
"2021-07-12 13:13:46","195.9.84.106","443","online","2021-10-25","TrickBot"
"2021-07-13 08:31:22","107.170.64.97","9043","online","2021-10-25","Dridex"
"2021-07-14 15:30:51","66.175.217.172","13786","online","2021-10-25","Dridex"
"2021-07-18 08:51:55","79.172.201.113","8443","online","2021-10-25","Dridex"
